172.18.0.4 - - [25/Nov/2024:06:21:39 +0000] "GET /auth/realms/gpt-keycloak/.well-known/openid-configuration HTTP/1.1" 502 157 "-" "Java/23.0.1"
192.168.65.1 - - [18/Apr/2025:03:40:46 +0000] "GET /resources/3k4f1/login/keycloak.v2/img/favicon.ico HTTP/1.1" 404 153 "https://localhost:7080/auth/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:40:48 +0000] "GET /auth HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:40:48 +0000] "GET /auth/ HTTP/1.1" 404 2983 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:40:48 +0000] "GET /resources/3k4f1/common/keycloak/vendor/patternfly-v5/patternfly.min.css HTTP/1.1" 404 153 "https://localhost:7080/auth/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:40:48 +0000] "GET /resources/3k4f1/login/keycloak.v2/js/passwordVisibility.js HTTP/1.1" 404 153 "https://localhost:7080/auth/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:40:48 +0000] "GET /resources/3k4f1/common/keycloak/vendor/patternfly-v5/patternfly-addons.css HTTP/1.1" 404 153 "https://localhost:7080/auth/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:40:48 +0000] "GET /resources/3k4f1/login/keycloak.v2/js/authChecker.js HTTP/1.1" 404 153 "https://localhost:7080/auth/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:40:48 +0000] "GET /resources/3k4f1/login/keycloak.v2/css/styles.css HTTP/1.1" 404 153 "https://localhost:7080/auth/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:40:57 +0000] "GET /auth/realms/local-keycloak HTTP/1.1" 404 2983 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:40:57 +0000] "GET /resources/3k4f1/common/keycloak/vendor/patternfly-v5/patternfly.min.css HTTP/1.1" 404 153 "https://localhost:7080/auth/realms/local-keycloak" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:40:57 +0000] "GET /resources/3k4f1/login/keycloak.v2/css/styles.css HTTP/1.1" 404 153 "https://localhost:7080/auth/realms/local-keycloak" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:40:57 +0000] "GET /resources/3k4f1/login/keycloak.v2/js/passwordVisibility.js HTTP/1.1" 404 153 "https://localhost:7080/auth/realms/local-keycloak" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:40:57 +0000] "GET /resources/3k4f1/login/keycloak.v2/js/authChecker.js HTTP/1.1" 404 153 "https://localhost:7080/auth/realms/local-keycloak" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:40:57 +0000] "GET /resources/3k4f1/common/keycloak/vendor/patternfly-v5/patternfly-addons.css HTTP/1.1" 404 153 "https://localhost:7080/auth/realms/local-keycloak" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:41:17 +0000] "GET /auth/realms/gpt-keycloak HTTP/1.1" 404 2983 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:41:17 +0000] "GET /resources/3k4f1/common/keycloak/vendor/patternfly-v5/patternfly.min.css HTTP/1.1" 404 153 "https://localhost:7080/auth/realms/gpt-keycloak" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:41:17 +0000] "GET /resources/3k4f1/login/keycloak.v2/css/styles.css HTTP/1.1" 404 153 "https://localhost:7080/auth/realms/gpt-keycloak" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:41:17 +0000] "GET /resources/3k4f1/common/keycloak/vendor/patternfly-v5/patternfly-addons.css HTTP/1.1" 404 153 "https://localhost:7080/auth/realms/gpt-keycloak" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:41:17 +0000] "GET /resources/3k4f1/login/keycloak.v2/js/authChecker.js HTTP/1.1" 404 153 "https://localhost:7080/auth/realms/gpt-keycloak" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:41:17 +0000] "GET /resources/3k4f1/login/keycloak.v2/js/passwordVisibility.js HTTP/1.1" 404 153 "https://localhost:7080/auth/realms/gpt-keycloak" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:41:20 +0000] "GET /auth/realms/gpt-keycloak HTTP/1.1" 404 2983 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:41:20 +0000] "GET /resources/3k4f1/common/keycloak/vendor/patternfly-v5/patternfly-addons.css HTTP/1.1" 404 153 "https://localhost:7080/auth/realms/gpt-keycloak" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:41:20 +0000] "GET /resources/3k4f1/common/keycloak/vendor/patternfly-v5/patternfly.min.css HTTP/1.1" 404 153 "https://localhost:7080/auth/realms/gpt-keycloak" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:41:20 +0000] "GET /resources/3k4f1/login/keycloak.v2/js/passwordVisibility.js HTTP/1.1" 404 153 "https://localhost:7080/auth/realms/gpt-keycloak" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:41:20 +0000] "GET /resources/3k4f1/login/keycloak.v2/css/styles.css HTTP/1.1" 404 153 "https://localhost:7080/auth/realms/gpt-keycloak" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:41:20 +0000] "GET /resources/3k4f1/login/keycloak.v2/js/authChecker.js HTTP/1.1" 404 153 "https://localhost:7080/auth/realms/gpt-keycloak" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:41:24 +0000] "GET /auth/realms/local-keycloak HTTP/1.1" 404 2983 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:41:24 +0000] "GET /resources/3k4f1/common/keycloak/vendor/patternfly-v5/patternfly.min.css HTTP/1.1" 404 153 "https://localhost:7080/auth/realms/local-keycloak" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:41:24 +0000] "GET /resources/3k4f1/login/keycloak.v2/js/passwordVisibility.js HTTP/1.1" 404 153 "https://localhost:7080/auth/realms/local-keycloak" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:41:24 +0000] "GET /resources/3k4f1/login/keycloak.v2/css/styles.css HTTP/1.1" 404 153 "https://localhost:7080/auth/realms/local-keycloak" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:41:24 +0000] "GET /resources/3k4f1/login/keycloak.v2/js/authChecker.js HTTP/1.1" 404 153 "https://localhost:7080/auth/realms/local-keycloak" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:41:24 +0000] "GET /resources/3k4f1/common/keycloak/vendor/patternfly-v5/patternfly-addons.css HTTP/1.1" 404 153 "https://localhost:7080/auth/realms/local-keycloak" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:41:39 +0000] "GET /auth/realms/master/protocol/openid-connect/auth?client_id=security-admin-console&redirect_uri=http%3A%2F%2Flocalhost%3A8080%2Fadmin%2Fmaster%2Fconsole%2F&state=6128613e-42f7-43d5-aa89-922444d13931&response_mode=query&response_type=code&scope=openid&nonce=d5d2399a-901a-4936-84c8-6bd4569058fb&code_challenge=YOgiw7vgmkuVm4GPdSZ1FGuC5lyZQIFE63HgfEIuSG0&code_challenge_method=S256 HTTP/1.1" 400 255 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:41:39 +0000] "GET /favicon.ico HTTP/1.1" 400 255 "http://localhost:7080/auth/realms/master/protocol/openid-connect/auth?client_id=security-admin-console&redirect_uri=http%3A%2F%2Flocalhost%3A8080%2Fadmin%2Fmaster%2Fconsole%2F&state=6128613e-42f7-43d5-aa89-922444d13931&response_mode=query&response_type=code&scope=openid&nonce=d5d2399a-901a-4936-84c8-6bd4569058fb&code_challenge=YOgiw7vgmkuVm4GPdSZ1FGuC5lyZQIFE63HgfEIuSG0&code_challenge_method=S256" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:41:45 +0000] "GET /auth/realms/master/protocol/openid-connect/auth?client_id=security-admin-console&redirect_uri=http%3A%2F%2Flocalhost%3A8080%2Fadmin%2Fmaster%2Fconsole%2F&state=6128613e-42f7-43d5-aa89-922444d13931&response_mode=query&response_type=code&scope=openid&nonce=d5d2399a-901a-4936-84c8-6bd4569058fb&code_challenge=YOgiw7vgmkuVm4GPdSZ1FGuC5lyZQIFE63HgfEIuSG0&code_challenge_method=S256 HTTP/1.1" 404 2983 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:41:45 +0000] "GET /resources/3k4f1/common/keycloak/vendor/patternfly-v5/patternfly.min.css HTTP/1.1" 404 153 "https://localhost:7080/auth/realms/master/protocol/openid-connect/auth?client_id=security-admin-console&redirect_uri=http%3A%2F%2Flocalhost%3A8080%2Fadmin%2Fmaster%2Fconsole%2F&state=6128613e-42f7-43d5-aa89-922444d13931&response_mode=query&response_type=code&scope=openid&nonce=d5d2399a-901a-4936-84c8-6bd4569058fb&code_challenge=YOgiw7vgmkuVm4GPdSZ1FGuC5lyZQIFE63HgfEIuSG0&code_challenge_method=S256" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:41:45 +0000] "GET /resources/3k4f1/login/keycloak.v2/css/styles.css HTTP/1.1" 404 153 "https://localhost:7080/auth/realms/master/protocol/openid-connect/auth?client_id=security-admin-console&redirect_uri=http%3A%2F%2Flocalhost%3A8080%2Fadmin%2Fmaster%2Fconsole%2F&state=6128613e-42f7-43d5-aa89-922444d13931&response_mode=query&response_type=code&scope=openid&nonce=d5d2399a-901a-4936-84c8-6bd4569058fb&code_challenge=YOgiw7vgmkuVm4GPdSZ1FGuC5lyZQIFE63HgfEIuSG0&code_challenge_method=S256" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:41:45 +0000] "GET /resources/3k4f1/common/keycloak/vendor/patternfly-v5/patternfly-addons.css HTTP/1.1" 404 153 "https://localhost:7080/auth/realms/master/protocol/openid-connect/auth?client_id=security-admin-console&redirect_uri=http%3A%2F%2Flocalhost%3A8080%2Fadmin%2Fmaster%2Fconsole%2F&state=6128613e-42f7-43d5-aa89-922444d13931&response_mode=query&response_type=code&scope=openid&nonce=d5d2399a-901a-4936-84c8-6bd4569058fb&code_challenge=YOgiw7vgmkuVm4GPdSZ1FGuC5lyZQIFE63HgfEIuSG0&code_challenge_method=S256" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:41:45 +0000] "GET /resources/3k4f1/login/keycloak.v2/js/authChecker.js HTTP/1.1" 404 153 "https://localhost:7080/auth/realms/master/protocol/openid-connect/auth?client_id=security-admin-console&redirect_uri=http%3A%2F%2Flocalhost%3A8080%2Fadmin%2Fmaster%2Fconsole%2F&state=6128613e-42f7-43d5-aa89-922444d13931&response_mode=query&response_type=code&scope=openid&nonce=d5d2399a-901a-4936-84c8-6bd4569058fb&code_challenge=YOgiw7vgmkuVm4GPdSZ1FGuC5lyZQIFE63HgfEIuSG0&code_challenge_method=S256" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:41:45 +0000] "GET /resources/3k4f1/login/keycloak.v2/js/passwordVisibility.js HTTP/1.1" 404 153 "https://localhost:7080/auth/realms/master/protocol/openid-connect/auth?client_id=security-admin-console&redirect_uri=http%3A%2F%2Flocalhost%3A8080%2Fadmin%2Fmaster%2Fconsole%2F&state=6128613e-42f7-43d5-aa89-922444d13931&response_mode=query&response_type=code&scope=openid&nonce=d5d2399a-901a-4936-84c8-6bd4569058fb&code_challenge=YOgiw7vgmkuVm4GPdSZ1FGuC5lyZQIFE63HgfEIuSG0&code_challenge_method=S256" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:42:23 +0000] "GET /auth/realms/master/protocol/openid-connect/auth?client_id=security-admin-console&redirect_uri=http%3A%2F%2Flocalhost%3A8080%2Fadmin%2Fmaster%2Fconsole%2F&state=6128613e-42f7-43d5-aa89-922444d13931&response_mode=query&response_type=code&scope=openid&nonce=d5d2399a-901a-4936-84c8-6bd4569058fb&code_challenge=YOgiw7vgmkuVm4GPdSZ1FGuC5lyZQIFE63HgfEIuSG0&code_challenge_method=S256 HTTP/1.1" 200 6342 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:42:23 +0000] "GET /resources/3k4f1/common/keycloak/vendor/patternfly-v5/patternfly.min.css HTTP/1.1" 404 153 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:42:23 +0000] "GET /resources/3k4f1/login/keycloak.v2/css/styles.css HTTP/1.1" 404 153 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:42:23 +0000] "GET /resources/3k4f1/common/keycloak/vendor/patternfly-v5/patternfly-addons.css HTTP/1.1" 404 153 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:42:23 +0000] "GET /resources/3k4f1/login/keycloak.v2/js/authChecker.js HTTP/1.1" 404 153 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:42:23 +0000] "GET /resources/3k4f1/login/keycloak.v2/js/passwordVisibility.js HTTP/1.1" 404 153 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:44:01 +0000] "GET /auth/realms/gpt-keycloak HTTP/1.1" 404 2983 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:44:01 +0000] "GET /resources/3k4f1/common/keycloak/vendor/patternfly-v5/patternfly.min.css HTTP/1.1" 404 153 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:44:01 +0000] "GET /resources/3k4f1/login/keycloak.v2/css/styles.css HTTP/1.1" 404 153 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:44:01 +0000] "GET /resources/3k4f1/common/keycloak/vendor/patternfly-v5/patternfly-addons.css HTTP/1.1" 404 153 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:44:01 +0000] "GET /resources/3k4f1/login/keycloak.v2/js/authChecker.js HTTP/1.1" 404 153 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:44:01 +0000] "GET /resources/3k4f1/login/keycloak.v2/js/passwordVisibility.js HTTP/1.1" 404 153 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:47:58 +0000] "GET /auth/realms/local-keycloak HTTP/1.1" 404 2983 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:47:58 +0000] "GET /resources/3k4f1/common/keycloak/vendor/patternfly-v5/patternfly.min.css HTTP/1.1" 404 153 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:47:58 +0000] "GET /resources/3k4f1/login/keycloak.v2/css/styles.css HTTP/1.1" 404 153 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:47:58 +0000] "GET /resources/3k4f1/common/keycloak/vendor/patternfly-v5/patternfly-addons.css HTTP/1.1" 404 153 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:47:58 +0000] "GET /resources/3k4f1/login/keycloak.v2/js/passwordVisibility.js HTTP/1.1" 404 153 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:47:58 +0000] "GET /resources/3k4f1/login/keycloak.v2/js/authChecker.js HTTP/1.1" 404 153 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:56:58 +0000] "GET /auth/realms/local-keycloak HTTP/1.1" 200 604 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:56:58 +0000] "GET /favicon.ico HTTP/1.1" 404 153 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:05:03:08 +0000] "GET /auth/realms/local-keycloak/protocol/openid-connect/auth HTTP/1.1" 400 2943 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:05:03:08 +0000] "GET /resources/p4lga/common/keycloak/vendor/patternfly-v5/patternfly.min.css HTTP/1.1" 404 153 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:05:03:08 +0000] "GET /resources/p4lga/common/keycloak/vendor/patternfly-v5/patternfly-addons.css HTTP/1.1" 404 153 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:05:03:08 +0000] "GET /resources/p4lga/login/keycloak.v2/css/styles.css HTTP/1.1" 404 153 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:05:03:08 +0000] "GET /resources/p4lga/common/keycloak/vendor/patternfly-v5/patternfly.min.css HTTP/1.1" 404 153 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:05:03:08 +0000] "GET /resources/p4lga/login/keycloak.v2/css/styles.css HTTP/1.1" 404 153 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:05:03:08 +0000] "GET /resources/p4lga/login/keycloak.v2/js/authChecker.js HTTP/1.1" 404 153 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:05:03:08 +0000] "GET /resources/p4lga/common/keycloak/vendor/patternfly-v5/patternfly-addons.css HTTP/1.1" 404 153 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:05:03:08 +0000] "GET /resources/p4lga/login/keycloak.v2/js/passwordVisibility.js HTTP/1.1" 404 153 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:05:03:08 +0000] "GET /resources/p4lga/login/keycloak.v2/img/favicon.ico HTTP/1.1" 404 153 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:05:03:21 +0000] "GET /auth/realms/local-keycloak/protocol/openid-connect/auth?response_type=token&client_id=griff&redirect_uri=http%3A%2F%2Flocalhost%3A7084%2Fswagger-ui%2Foauth2-redirect.html&scope=read_access%20write_access&state=RnJpIEFwciAxOCAyMDI1IDAxOjAzOjIxIEdNVC0wNDAwIChFYXN0ZXJuIERheWxpZ2h0IFRpbWUp HTTP/1.1" 400 2945 "http://localhost:7084/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:05:03:21 +0000] "GET /resources/p4lga/login/keycloak.v2/css/styles.css HTTP/1.1" 404 153 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
